id,pts,trb,ass
855,29,4,11
856,29,10,8
857,19,2,7
858,26,5,10
859,19,5,12
860,24,7,13
861,18,4,7
862,35,2,4
863,41,5,5
864,27,7,14
865,21,3,2
866,22,4,9
867,25,1,11
868,24,4,3
869,30,4,8
870,29,5,8
871,17,10,7
872,33,7,5
873,36,4,5
874,32,11,7
875,26,5,4
876,26,7,9
877,25,6,9
878,34,7,5
879,32,6,7
880,19,3,7
881,36,6,5
882,18,3,11
883,23,3,9
884,25,6,5
885,22,10,8
886,18,9,7
887,31,5,4
888,28,5,6
889,18,7,7
890,19,7,11
891,42,11,5
892,37,8,4
893,27,3,5
894,29,6,14
895,18,6,8
896,17,6,8
897,27,7,8
898,31,5,7
899,21,8,13
900,26,2,4
901,16,3,7
902,29,7,5
903,28,10,6
904,20,8,5
905,24,5,9
906,20,11,6
907,23,8,7
908,20,10,12
909,21,9,8
910,14,3,7
911,21,10,11
912,25,10,5
913,12,7,5
914,29,5,4
915,22,9,11
916,23,5,3
917,31,4,13
918,29,6,4
919,31,7,8
920,31,3,6
921,37,12,5
922,30,6,3
923,27,9,6
924,19,11,8
925,15,6,13
926,24,6,8
927,25,13,5
928,26,9,5
929,24,13,4
930,37,7,8
931,33,10,3
932,25,3,8
933,24,7,3
934,33,9,11
935,23,5,4
936,24,9,5
937,25,9,2
938,12,4,5
939,14,4,7
940,34,6,2
941,29,5,3
942,20,2,7
943,34,10,4
944,13,12,8
945,37,7,9
946,27,10,7
947,22,7,5
948,19,7,7
949,16,5,5
950,17,1,5
951,22,5,12
952,26,13,9
953,25,4,9
954,21,3,9
955,20,9,8
956,29,5,7
957,24,12,6
958,23,6,6
959,30,7,4
960,27,3,8
961,21,10,10
962,29,7,11
963,25,9,9
964,25,7,11
965,12,8,5
966,23,7,7
967,25,8,7
968,33,5,4
969,19,13,8
970,28,11,8
971,28,9,5
972,25,11,6
973,24,5,7
974,27,6,5
975,23,12,3
976,18,7,8
977,26,3,3
978,33,11,11
979,26,6,8
980,30,6,5
981,27,11,11
982,24,4,11
983,29,16,9
984,31,8,12
985,17,5,9
986,33,7,3
987,34,6,6
988,19,11,14
989,21,8,7
990,23,6,9
991,19,13,8
992,30,7,12
993,25,8,14
994,23,9,5
995,27,10,5
996,19,8,8
997,28,9,15
998,21,3,3
999,31,10,13
1000,19,5,11
1001,26,10,13
1002,22,4,4
1003,16,5,5
1004,27,5,13
1005,34,8,7
1006,25,6,7
1007,27,8,8
1008,44,9,10
1009,23,6,8
1010,26,7,9
1011,34,12,7
1012,29,9,6
1013,19,4,6
1014,31,13,4
1015,23,8,11
1016,32,6,9
1017,26,7,6
1018,31,8,7
1019,36,9,6
1020,28,8,4
1021,29,6,5
1022,20,11,4
1023,16,2,15
1024,20,8,2
1025,21,9,15
1026,29,6,7
1027,26,10,12
1028,24,13,11
1029,31,5,11
1030,25,14,8
1031,23,9,9
1032,27,8,12
1033,32,5,10
1034,32,7,17
1035,25,6,9
1036,18,5,7
1037,27,5,12
1038,25,8,14
1039,31,5,4
1040,18,13,15
1041,24,10,6
1042,28,13,10
1043,38,13,8
1044,30,17,6
1045,29,14,10
1046,24,12,12
1047,30,7,5
1048,16,11,12
1049,33,10,6
1050,34,6,7
1051,18,6,5
1052,32,9,11
1053,24,11,8
1054,17,8,8
1055,26,10,8
1056,34,9,6
1057,41,14,11
1058,18,11,11
1059,36,10,6
1060,27,8,7
1061,32,16,10
1062,29,16,9
1063,24,5,8
1064,22,4,2
1065,34,2,13
1066,29,10,13
1067,18,3,8
1068,16,10,7
1069,33,6,11
1070,57,11,7
1071,26,5,13
1072,30,8,9
1073,33,4,7
1074,19,11,4
1075,23,9,12
1076,31,6,8
1077,39,14,6
1078,18,2,8
1079,33,6,5
1080,27,16,13
1081,30,14,6
1082,21,12,6
1083,24,6,12
1084,34,2,12
1085,23,7,6
1086,32,11,9
1087,29,10,8
1088,30,13,13
1089,25,7,17
1090,25,12,12
1091,29,11,10
1092,20,11,15
1093,39,1,7
1094,34,6,9
1095,20,6,6
1096,16,10,14
1097,29,8,6
1098,24,6,8
1099,19,7,6
1100,33,10,9
1101,10,8,5
1102,26,3,1
1103,27,8,11
1104,32,8,6
1105,16,5,6
1106,18,3,7
1107,28,9,7
1108,26,10,11
1109,25,8,14
1110,21,6,7
1111,24,11,5
1112,11,9,9
1113,25,10,5
1114,37,10,15
1115,22,12,19
1116,24,8,10
1117,37,8,8
1118,32,9,8
1119,18,14,11
1120,33,13,9
1121,31,12,11
1122,30,9,8
1123,25,10,15
1124,31,7,7
1125,39,8,10
1126,25,10,6
1127,24,10,7
1128,28,12,11
1129,35,14,6
1130,33,13,12
1131,40,12,10
1132,35,7,17
1133,27,6,9
1134,37,10,8
1135,18,6,7
1136,41,10,8
1137,27,9,11
1138,16,13,12
1139,27,10,6
1140,33,9,14
1141,44,11,11
1142,26,6,11
1143,10,5,2
